Age,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
57,328413,340988,354312,368175,382721,399987,418307,438660,458714,479859,501032,522175,543151,563975,583760,603330,622076,640720,659536,676923,694064,710399,724942,741326,758195,772119,783881,792585,799449,803420,806801,810277,815832,822390,829904,836293,841370,845483,848723,855030,860659,864918,868179,873427,876712,876505,874181
58,313580,325399,337986,351240,365033,379506,396680,414903,435146,455097,476135,497206,518259,539151,559896,579616,599125,617820,636414,655182,672532,689641,705952,720486,736853,753704,767629,779405,788140,795044,799070,802508,806040,811638,818234,825780,832206,837326,841484,844773,851115,856784,861092,864409,869706,873050,872915
59,299445,310476,322299,334813,347991,361706,376100,393172,411290,431413,451251,472172,493139,514093,534894,555554,575202,594645,613283,631823,650537,667847,684920,701204,715727,732073,748903,762828,774618,783384,790330,794414,797912,801502,807146,813781,821361,827826,832991,837196,840538,846917,852629,856989,860365,865714,869120
60,285972,296245,307271,319016,331450,344545,358174,372480,389441,407443,427434,447149,467951,488805,509652,530353,550920,570489,589859,608434,626914,645569,662833,679866,696118,710627,726949,743754,757676,769478,778277,785266,789411,792972,796623,802315,808991,816606,823112,828324,832580,835978,842396,848154,852568,856007,861410
61,273047,282669,292925,303872,315533,327877,340880,354414,368623,385462,403336,423183,442774,463446,484177,504907,525499,545964,565446,584735,603240,621653,640242,657455,674442,690658,705148,721441,738217,752133,763946,772778,779811,784019,787646,791360,797102,803821,811473,818022,823283,827594,831051,837509,843315,847787,851291
62,260545,269634,279228,289401,300260,311828,324073,336975,350404,364505,381209,398941,418645,438101,458632,479229,499831,520303,540656,560042,579241,597667,616004,634520,651676,668610,684785,699252,715510,732252,746158,757980,766844,773922,778195,781891,785672,791465,798229,805918,812511,817824,822192,825712,832214,838069,842602
63,248325,257018,266065,275572,285654,296416,307881,320017,332806,346119,360099,376655,394248,413796,433105,453483,473933,494395,514736,534965,554244,573342,591680,609933,628367,645457,662331,678458,692898,709115,725816,739708,751535,760430,767554,771895,775663,779513,785359,792169,799896,806535,811903,816331,819916,826463,832370
64,236301,244682,253316,262272,271683,281664,292318,303669,315685,328349,341533,355378,371791,389233,408611,427760,447971,468261,488570,508766,528858,548019,567005,585244,603403,621745,638761,655567,671638,686044,702213,718865,732738,744568,753493,760662,765073,768915,772838,778739,785594,793360,800046,805471,809962,813617,820210
65,224529,232542,240847,249382,258236,267541,277410,287945,299170,311052,323577,336618,350338,366595,383873,403066,422041,442070,462184,482325,502362,522304,541333,560194,578323,596376,614615,631547,648276,664282,678647,694759,711354,725203,737031,745984,753199,757681,761600,765598,771555,778458,786262,792996,798480,803037,806765
66,213062,220654,228574,236771,245196,253938,263126,272871,283274,294359,306093,318464,331374,344957,361045,378144,397135,415920,435751,455674,475631,495492,515268,534151,552874,570879,588814,606937,623774,640415,656348,670664,686710,703239,717056,728876,737855,745116,749671,753669,757745,763759,770708,778551,785334,790879,795505
67,201862,209070,216553,224357,232436,240740,249358,258416,268024,278282,289211,300782,313013,325780,339214,355117,372021,390794,409372,428987,448700,468455,488124,507718,526438,545007,562874,580677,598670,615400,631943,647791,662049,678019,694471,708248,720055,729057,736362,740992,745071,749227,755298,762294,770175,777008,782615
68,190872,197755,204837,212197,219874,227822,235994,244475,253390,262845,272942,283700,295125,307204,319815,333086,348788,365481,384017,402369,421748,441232,460766,480225,499618,518157,536556,554269,571925,589773,606383,622814,638566,652755,668638,685001,698728,710516,719538,726884,731591,735753,739990,746119,753162,761079,767962
